Farm_ID,Crop_Type,Farm_Area(ha),Irrigation_Type,Water_Usage(m³),Fertilizer_Used(kg/ha),Pesticide_Used(kg/ha),Soil_Type,Season,Climate_Zone,Rainfall(mm),Temperature(°C),Yield(tons/ha),Profit(€)
223,Cacao,74.72,Aspersión,4286.5,277.6,34.6,Arenoso,Verano,Templado,261.8,25.9,2.38,445273.34
224,Trigo,97.42,Goteo,2512.2,428.3,21.5,Volcánico,Primavera,Tropical,1048.9,32.0,13.88,270345.16
225,Papa,124.03,Goteo,1311.4,379.8,33.6,Volcánico,Otoño,Templado,299.6,28.8,29.57,916767.07
226,Algodón,74.41,Aspersión,4366.7,294.0,13.8,Arenoso,Primavera,Templado,315.9,25.3,6.31,70421.64
227,Arroz,93.04,Lluvia,2282.0,315.7,15.3,Franco,Otoño,Templado,0.8,25.4,10.83,221728.41
228,Papa,149.75,Secano,2622.6,278.8,39.4,Volcánico,Invierno,Árido,1044.8,33.4,30.52,1142734.87
229,Algodón,8.3,Aspersión,1860.2,183.9,22.3,Arcilloso,Primavera,Templado,951.1,13.9,3.89,4846.03
230,Cacao,51.23,Secano,3005.5,304.3,39.9,Arenoso,Verano,Tropical,752.8,5.0,3.36,430518.08
231,Tomate,142.96,Lluvia,901.3,360.0,41.1,Arcilloso,Primavera,Templado,900.3,13.2,28.87,1238142.4
232,Maíz,179.15,Goteo,2016.3,443.0,42.9,Arcilloso,Primavera,Tropical,182.5,11.5,7.29,234955.46
233,Trigo,102.82,Lluvia,4850.1,336.3,45.8,Franco,Primavera,Templado,550.0,24.9,18.85,387609.1
234,Maíz,106.89,Aspersión,1364.9,392.5,21.5,Arcilloso,Invierno,Tropical,421.5,24.0,10.04,193148.95
235,Parchita,22.33,Goteo,3318.0,122.0,15.9,Franco,Verano,Tropical,112.5,22.8,22.95,256192.68
236,Parchita,90.04,Aspersión,1693.4,257.7,29.1,Volcánico,Primavera,Templado,583.4,5.5,28.62,1288389.63
237,Papa,106.99,Aspersión,3890.0,54.2,18.6,Arenoso,Verano,Templado,1104.9,26.9,11.47,306877.69
238,Cacao,49.25,Lluvia,741.3,161.0,30.1,Arcilloso,Invierno,Tropical,48.1,14.7,0.71,87379.95
239,Cacao,54.58,Aspersión,4852.1,376.9,35.3,Arenoso,Otoño,Mediterráneo,349.8,25.0,4.15,566083.51
240,Arroz,76.08,Lluvia,2323.6,496.3,34.4,Arcilloso,Primavera,Árido,249.0,21.7,20.61,344986.66
241,Arroz,4.99,Goteo,1256.6,94.6,18.7,Arenoso,Verano,Mediterráneo,285.8,15.3,6.69,7342.12
242,Arroz,65.09,Lluvia,460.1,230.7,8.3,Arcilloso,Verano,Mediterráneo,1090.1,9.0,2.26,32406.66
243,Tomate,43.08,Goteo,931.8,410.0,21.5,Arcilloso,Invierno,Templado,561.7,7.8,148.39,1917760.55
244,Café,66.17,Lluvia,2646.9,141.8,7.1,Arcilloso,Primavera,Árido,559.6,29.9,1.81,264018.72
245,Soja,24.83,Secano,1751.3,299.8,44.5,Arcilloso,Otoño,Mediterráneo,912.7,32.6,9.73,84572.95
246,Café,178.21,Secano,4161.5,379.9,17.3,Arcilloso,Verano,Templado,185.4,24.5,3.65,1430530.28
247,Maíz,119.12,Aspersión,2211.3,327.2,7.7,Arcilloso,Primavera,Mediterráneo,584.7,8.1,11.39,244116.53
248,Café,136.14,Lluvia,1318.7,134.6,1.3,Arcilloso,Otoño,Mediterráneo,516.0,17.1,0.44,131927.12
249,Tomate,158.05,Lluvia,3124.0,209.9,32.3,Arcilloso,Verano,Templado,716.3,26.9,71.52,3391080.64
250,Maíz,100.19,Goteo,3563.2,402.7,31.8,Arcilloso,Verano,Templado,1199.5,28.4,21.6,389495.05
251,Café,18.3,Aspersión,918.5,299.4,17.0,Arenoso,Otoño,Templado,923.3,8.5,3.69,148525.16
252,Tomate,107.88,Lluvia,921.3,52.4,3.6,Franco,Otoño,Árido,477.4,5.0,7.3,236139.6
253,Soja,117.78,Aspersión,279.7,392.4,20.5,Arcilloso,Invierno,Mediterráneo,993.1,26.4,0.69,28527.88
254,Café,149.34,Secano,3708.4,65.9,15.6,Franco,Primavera,Templado,204.9,15.7,0.7,229770.0
255,Tomate,86.9,Lluvia,3352.6,385.6,33.9,Arcilloso,Primavera,Tropical,36.6,12.6,212.74,5546099.86
256,Arroz,26.39,Lluvia,2425.7,141.1,30.3,Arcilloso,Invierno,Mediterráneo,245.3,5.4,7.34,42630.01
257,Cacao,57.47,Aspersión,4236.4,481.1,18.2,Arenoso,Verano,Tropical,408.5,21.2,4.99,717245.46
258,Arroz,73.25,Lluvia,4047.8,215.6,10.9,Volcánico,Otoño,Árido,612.7,30.5,13.19,212541.99
259,Cacao,129.54,Aspersión,2968.2,197.1,49.4,Volcánico,Otoño,Templado,738.2,33.7,0.99,320187.52
260,Trigo,114.58,Lluvia,4354.5,117.0,22.7,Arenoso,Otoño,Tropical,1092.7,22.0,6.05,138597.17
261,Trigo,71.86,Goteo,1108.6,187.5,34.4,Franco,Verano,Árido,611.8,20.4,3.63,52196.64
262,Trigo,197.32,Aspersión,648.4,444.5,7.0,Volcánico,Otoño,Templado,601.5,7.6,1.71,67545.46
263,Soja,121.55,Lluvia,1421.8,498.4,24.3,Arenoso,Otoño,Tropical,60.3,21.5,3.45,146954.02
264,Arroz,48.21,Secano,379.7,215.7,1.4,Arenoso,Invierno,Tropical,41.9,16.4,3.17,33639.2
265,Cacao,21.25,Lluvia,2702.7,251.9,25.3,Volcánico,Verano,Árido,661.4,23.2,2.85,151462.96
266,Tomate,31.42,Secano,4689.4,374.9,48.2,Franco,Primavera,Templado,525.8,16.7,243.78,2297869.98
267,Maíz,49.95,Secano,292.8,448.8,19.2,Arenoso,Invierno,Templado,1007.0,12.2,3.46,31069.66
268,Tomate,32.98,Goteo,698.3,316.9,1.9,Arcilloso,Invierno,Tropical,192.8,7.8,114.29,1130784.44
269,Maíz,38.13,Aspersión,2315.8,226.2,1.5,Franco,Primavera,Tropical,30.0,14.4,16.92,116109.02
270,Parchita,57.73,Lluvia,4676.0,235.7,19.4,Franco,Invierno,Tropical,538.8,7.9,55.94,1614725.32
271,Tomate,35.5,Goteo,1649.2,363.0,8.0,Volcánico,Verano,Templado,285.0,10.3,205.86,2192441.64
272,Café,179.46,Lluvia,2585.5,51.4,1.2,Volcánico,Otoño,Árido,59.5,34.6,0.32,126271.53
273,Café,16.97,Secano,303.7,328.8,37.8,Arcilloso,Verano,Árido,869.5,18.3,2.41,89808.26
274,Papa,105.38,Aspersión,826.9,210.0,22.9,Arenoso,Primavera,Templado,133.9,21.0,8.7,229280.76
275,Arroz,82.67,Lluvia,4934.5,407.4,14.5,Volcánico,Primavera,Mediterráneo,730.0,31.2,23.11,420395.73
276,Maíz,196.49,Lluvia,4829.1,91.8,45.0,Volcánico,Invierno,Árido,337.3,34.9,4.56,161225.22
277,Maíz,23.3,Secano,124.2,314.7,5.8,Franco,Verano,Tropical,208.2,22.5,2.4,10082.04
278,Arroz,80.17,Lluvia,4763.9,266.4,47.8,Volcánico,Verano,Mediterráneo,455.7,29.4,18.93,333948.53
279,Soja,193.92,Lluvia,3231.7,339.0,15.7,Volcánico,Primavera,Mediterráneo,961.7,14.8,4.54,308190.4
280,Papa,173.24,Secano,4352.8,79.2,44.4,Volcánico,Verano,Árido,470.5,14.2,13.09,566965.74
281,Soja,163.6,Goteo,2328.2,311.0,30.1,Volcánico,Primavera,Mediterráneo,900.9,17.1,3.01,172624.65
282,Soja,52.32,Secano,2626.4,302.7,41.3,Franco,Verano,Mediterráneo,150.6,25.2,8.17,149581.78
283,Soja,35.01,Goteo,2495.3,302.3,49.2,Arcilloso,Verano,Árido,927.3,25.5,10.67,130776.83
284,Arroz,134.06,Aspersión,3367.6,321.6,14.4,Arcilloso,Verano,Árido,284.3,14.5,11.14,328557.95
285,Soja,185.95,Goteo,784.3,354.4,48.1,Arenoso,Primavera,Mediterráneo,812.9,9.0,1.24,81004.15
286,Café,111.8,Goteo,246.9,412.2,19.5,Volcánico,Invierno,Tropical,678.9,24.0,0.32,77993.75
287,Trigo,114.75,Aspersión,1608.9,171.4,19.3,Franco,Verano,Templado,1115.0,8.8,2.57,58993.24
288,Parchita,56.72,Goteo,3552.9,421.3,17.0,Arenoso,Primavera,Mediterráneo,464.8,22.4,64.34,1824764.35
289,Maíz,154.13,Secano,1089.1,274.2,27.1,Arenoso,Primavera,Mediterráneo,79.4,25.8,3.45,95734.13
290,Maíz,38.22,Goteo,3399.8,84.7,7.7,Arcilloso,Verano,Tropical,23.0,26.0,7.06,48551.79
291,Parchita,65.41,Aspersión,4852.6,76.3,27.7,Franco,Verano,Mediterráneo,992.2,27.6,14.46,472953.79
292,Arroz,85.66,Secano,560.1,200.4,27.1,Franco,Invierno,Mediterráneo,629.7,31.2,1.85,34924.66
293,Tomate,102.01,Aspersión,3395.8,403.2,38.1,Franco,Primavera,Templado,930.3,20.0,187.28,5731247.75
294,Arroz,49.24,Aspersión,2274.4,368.5,41.7,Arcilloso,Primavera,Templado,281.3,26.9,22.29,241481.42
295,Maíz,23.85,Lluvia,4353.9,404.9,22.0,Arcilloso,Otoño,Templado,414.1,23.6,27.34,117351.07
296,Maíz,122.51,Lluvia,968.0,282.8,15.1,Arcilloso,Primavera,Árido,36.1,10.6,4.5,99335.6
297,Parchita,58.44,Aspersión,3493.9,248.1,13.0,Arcilloso,Invierno,Árido,1153.8,5.8,49.73,1453098.23
298,Soja,116.67,Aspersión,4206.8,116.4,9.7,Arcilloso,Otoño,Templado,801.4,13.5,3.16,128937.65
299,Arroz,31.72,Aspersión,4728.6,197.7,2.9,Volcánico,Otoño,Templado,1119.8,18.3,10.15,70803.86
300,Cacao,96.75,Lluvia,3447.9,245.3,17.1,Volcánico,Otoño,Árido,318.6,23.5,2.61,630677.81
301,Parchita,106.99,Lluvia,2536.2,89.9,13.5,Franco,Verano,Tropical,733.8,30.5,10.55,564304.04
302,Café,11.31,Goteo,3127.5,149.3,48.3,Arenoso,Verano,Mediterráneo,814.2,10.9,1.86,46213.82
303,Maíz,67.98,Goteo,4357.6,319.2,27.9,Franco,Primavera,Mediterráneo,381.1,8.8,23.8,291252.46
304,Parchita,27.75,Aspersión,2896.0,381.0,17.4,Arenoso,Otoño,Templado,1017.7,33.9,79.11,1097606.39
305,Arroz,13.61,Secano,248.9,499.3,29.0,Arcilloso,Invierno,Tropical,1136.6,8.2,11.66,34913.62
306,Maíz,198.0,Secano,4661.6,469.9,7.0,Arenoso,Verano,Árido,1061.8,19.4,15.97,569081.08
307,Tomate,65.15,Lluvia,3478.7,339.2,22.2,Franco,Invierno,Templado,886.9,22.6,226.73,4431369.12
308,Parchita,162.17,Lluvia,3414.9,239.6,31.3,Franco,Invierno,Tropical,333.0,21.2,24.37,1976209.54
309,Papa,51.67,Lluvia,1156.8,336.3,24.4,Arenoso,Verano,Tropical,337.9,7.6,53.09,685730.21
310,Maíz,136.62,Aspersión,3328.5,403.5,20.1,Volcánico,Verano,Tropical,1156.0,6.7,18.07,444344.28
311,Arroz,152.29,Secano,2029.9,103.3,49.7,Arcilloso,Verano,Árido,12.3,8.2,2.0,66954.43
312,Trigo,119.53,Goteo,3291.0,234.5,44.0,Arcilloso,Verano,Árido,859.3,22.6,7.94,189695.78
313,Cacao,94.84,Aspersión,622.3,427.9,31.2,Franco,Otoño,Mediterráneo,847.5,21.3,0.59,140431.16
314,Algodón,82.96,Goteo,3323.4,222.7,28.5,Volcánico,Otoño,Mediterráneo,747.2,12.0,4.9,61015.01
315,Soja,70.42,Goteo,4997.1,307.3,31.0,Arenoso,Otoño,Tropical,1188.1,24.1,9.27,228390.86
316,Algodón,185.98,Aspersión,336.2,314.5,10.1,Arcilloso,Otoño,Tropical,374.3,29.6,0.26,7361.86
317,Arroz,166.29,Goteo,4888.2,133.0,19.8,Volcánico,Primavera,Árido,408.0,6.2,6.09,222785.85
318,Café,193.04,Secano,2093.8,213.0,2.0,Arcilloso,Otoño,Mediterráneo,94.7,19.9,1.04,440891.83
319,Café,25.74,Goteo,4366.7,200.5,23.8,Volcánico,Verano,Tropical,531.4,25.7,2.93,165898.55
320,Trigo,146.44,Secano,3933.7,61.8,27.2,Volcánico,Invierno,Mediterráneo,313.3,12.6,2.42,71002.78
321,Soja,187.73,Secano,2878.4,60.9,11.4,Franco,Otoño,Mediterráneo,412.1,14.2,0.66,43162.21
322,Papa,37.07,Secano,3718.4,424.3,48.2,Arcilloso,Primavera,Tropical,1001.5,23.4,82.19,761689.41
323,Trigo,14.23,Lluvia,4404.7,172.9,45.5,Arenoso,Verano,Árido,1122.6,31.9,7.62,21692.98
324,Algodón,148.48,Goteo,2080.3,283.1,36.1,Franco,Invierno,Tropical,222.9,29.3,1.92,42733.48
325,Trigo,115.32,Aspersión,1702.5,184.4,26.7,Franco,Invierno,Tropical,447.0,22.5,3.02,69683.44
326,Algodón,168.52,Aspersión,3371.2,473.3,43.5,Arenoso,Otoño,Mediterráneo,1114.4,26.9,3.2,80917.98
327,Maíz,28.81,Goteo,4058.4,166.7,6.5,Franco,Invierno,Tropical,74.2,15.9,13.61,70558.31
328,Café,159.26,Lluvia,3835.2,243.3,39.5,Volcánico,Otoño,Árido,110.8,24.2,2.5,875699.78
329,Maíz,41.12,Lluvia,4009.3,442.7,6.2,Volcánico,Otoño,Tropical,195.3,19.0,30.71,227330.32
330,Cacao,33.57,Secano,2234.4,428.9,39.7,Arcilloso,Verano,Árido,714.3,10.7,3.47,291094.14
331,Soja,33.69,Goteo,4107.4,133.7,13.8,Arcilloso,Verano,Árido,180.6,26.1,3.4,40113.64
332,Papa,163.1,Goteo,689.0,411.2,43.9,Arenoso,Primavera,Mediterráneo,1161.7,21.7,8.73,356144.92
333,Algodón,133.37,Aspersión,2768.0,256.2,47.2,Arcilloso,Verano,Templado,536.1,15.8,2.9,57953.31
334,Papa,105.09,Goteo,128.2,267.3,7.4,Volcánico,Verano,Templado,601.8,32.3,2.39,62727.49
335,Algodón,72.41,Lluvia,1690.5,110.1,23.1,Arenoso,Otoño,Mediterráneo,296.0,5.6,1.25,13571.44
336,Arroz,175.56,Goteo,1895.7,86.3,49.0,Arenoso,Verano,Tropical,565.2,14.5,1.3,50339.26
337,Trigo,79.1,Aspersión,2041.2,377.6,24.2,Arcilloso,Otoño,Mediterráneo,794.3,6.7,12.24,193644.47
338,Cacao,163.5,Secano,3507.8,273.4,43.2,Volcánico,Otoño,Árido,901.4,28.0,1.38,563151.55
339,Café,88.39,Aspersión,2003.9,246.6,29.4,Arenoso,Verano,Templado,904.6,26.1,1.99,387270.71
340,Algodón,76.01,Aspersión,2298.6,378.3,18.8,Volcánico,Primavera,Mediterráneo,693.5,14.9,6.0,68382.16
341,Papa,93.07,Secano,1264.0,394.5,14.3,Volcánico,Primavera,Tropical,1085.2,25.3,36.42,847302.09
342,Cacao,60.97,Aspersión,1928.9,121.5,10.2,Volcánico,Invierno,Mediterráneo,980.9,16.9,0.81,123660.98
343,Tomate,149.77,Aspersión,1213.6,324.6,38.1,Arcilloso,Invierno,Templado,908.5,27.7,32.12,1443400.82
344,Tomate,101.04,Goteo,458.7,110.9,19.3,Franco,Verano,Mediterráneo,66.7,18.6,9.05,274177.93
345,Maíz,47.21,Goteo,3056.9,388.1,25.6,Franco,Primavera,Mediterráneo,8.3,17.4,24.26,206178.83
346,Café,180.02,Secano,3374.2,345.6,24.6,Arenoso,Otoño,Templado,254.9,33.0,2.0,790356.63
347,Arroz,77.39,Goteo,3135.5,480.5,28.9,Volcánico,Invierno,Árido,796.2,12.5,21.02,357930.04
348,Papa,109.17,Goteo,2371.1,81.0,43.3,Arcilloso,Otoño,Árido,493.4,8.6,8.97,244750.26
349,Trigo,181.39,Aspersión,1961.0,75.7,49.0,Volcánico,Invierno,Templado,482.9,22.5,0.98,35505.88
350,Trigo,125.22,Lluvia,4330.3,177.0,20.4,Volcánico,Verano,Mediterráneo,1061.5,34.1,8.58,214793.76
351,Papa,24.26,Goteo,2643.5,167.8,41.4,Arcilloso,Primavera,Templado,1074.7,16.3,39.29,238270.09
352,Soja,188.03,Lluvia,2448.0,161.1,38.2,Franco,Invierno,Árido,1091.0,6.9,1.54,101211.54
353,Arroz,125.91,Goteo,225.6,457.8,28.7,Volcánico,Primavera,Tropical,376.7,15.2,1.27,35057.81
354,Cacao,67.65,Goteo,1772.1,162.3,47.8,Volcánico,Otoño,Mediterráneo,829.3,20.2,1.07,180396.9
355,Algodón,28.72,Secano,1963.0,172.4,10.0,Franco,Verano,Árido,326.0,9.9,3.95,17001.55
356,Soja,159.01,Secano,2054.2,391.7,5.5,Arcilloso,Primavera,Mediterráneo,228.7,24.7,4.35,242140.36
357,Algodón,124.39,Secano,2942.8,252.4,42.7,Arenoso,Verano,Templado,221.6,34.9,2.4,44786.6
358,Algodón,107.16,Lluvia,2714.7,399.5,22.0,Franco,Primavera,Tropical,410.5,18.6,5.62,90385.62
359,Soja,178.88,Aspersión,3078.7,79.4,42.3,Arenoso,Otoño,Templado,515.9,15.6,1.01,63159.95
360,Maíz,157.93,Goteo,3847.9,269.4,44.7,Arenoso,Otoño,Tropical,997.1,17.0,13.73,390386.38
361,Tomate,31.18,Goteo,4083.6,65.1,3.1,Franco,Verano,Mediterráneo,143.9,8.5,38.8,362916.66
362,Algodón,63.03,Goteo,3618.8,78.2,44.2,Volcánico,Otoño,Mediterráneo,881.9,31.5,1.87,17666.7
363,Soja,50.45,Lluvia,4782.1,457.9,22.4,Arenoso,Invierno,Templado,637.7,17.4,13.22,233466.28
364,Soja,149.05,Secano,189.3,112.7,25.5,Arenoso,Primavera,Tropical,345.5,16.6,0.1,5037.06
365,Parchita,7.67,Aspersión,1059.3,289.6,31.3,Arcilloso,Otoño,Tropical,591.4,24.8,64.69,248088.02
366,Maíz,114.41,Lluvia,137.1,235.0,46.3,Volcánico,Invierno,Mediterráneo,359.9,18.3,0.59,12146.67
367,Café,152.73,Secano,3272.6,206.3,1.0,Arenoso,Verano,Templado,715.3,24.4,1.89,636644.49
368,Parchita,175.48,Lluvia,4500.3,454.9,23.8,Arcilloso,Invierno,Tropical,520.6,6.8,47.33,4153063.3
369,Parchita,69.07,Aspersión,1293.1,59.8,34.4,Volcánico,Verano,Mediterráneo,197.3,29.4,6.06,209276.66
370,Papa,164.43,Secano,4642.5,348.7,36.1,Franco,Verano,Árido,139.9,33.2,57.73,2373198.42
371,Tomate,23.02,Lluvia,395.3,483.5,34.6,Franco,Primavera,Templado,656.0,24.5,82.71,571219.26
372,Soja,169.44,Aspersión,4678.7,302.1,6.7,Arcilloso,Primavera,Árido,1082.9,33.6,6.01,356702.3
373,Tomate,26.37,Goteo,1823.0,471.6,15.0,Franco,Invierno,Templado,412.7,9.5,214.54,1697197.65
374,Arroz,80.06,Aspersión,597.0,73.5,17.9,Arenoso,Primavera,Mediterráneo,879.6,19.3,0.93,16327.16
375,Papa,159.66,Goteo,2480.8,238.5,40.2,Volcánico,Primavera,Tropical,790.4,23.1,21.65,864331.42
376,Café,30.83,Lluvia,1358.2,167.1,13.9,Arenoso,Primavera,Tropical,1117.9,22.5,2.83,192278.25
377,Tomate,46.62,Secano,1495.9,378.9,10.5,Arenoso,Invierno,Tropical,985.2,17.0,145.94,2041077.47
378,Trigo,144.73,Secano,1605.7,491.6,47.9,Franco,Otoño,Templado,679.9,15.1,5.12,148226.61
379,Algodón,144.29,Lluvia,4034.8,165.4,0.4,Arenoso,Primavera,Mediterráneo,788.4,8.8,2.07,44869.65
380,Arroz,128.59,Secano,2741.9,344.4,49.9,Franco,Primavera,Árido,1078.1,16.8,9.84,278411.87
381,Maíz,139.1,Secano,1625.4,139.1,33.8,Volcánico,Invierno,Mediterráneo,479.4,9.9,2.35,58917.95
382,Café,109.0,Goteo,3090.6,304.4,41.4,Volcánico,Otoño,Árido,392.2,27.0,2.83,679007.93
383,Arroz,51.11,Lluvia,3609.1,258.8,14.7,Arenoso,Primavera,Templado,13.0,11.3,15.87,178479.52
384,Algodón,69.79,Aspersión,1435.9,487.4,0.7,Arcilloso,Verano,Templado,991.9,6.8,3.77,39481.98
385,Papa,37.14,Goteo,2126.4,323.8,36.9,Franco,Invierno,Árido,961.2,21.6,78.28,726785.63
386,Algodón,181.78,Lluvia,697.2,207.3,41.7,Franco,Primavera,Árido,125.3,22.9,0.38,10305.83
387,Parchita,117.09,Goteo,987.6,101.3,37.0,Arenoso,Primavera,Árido,692.2,31.2,4.91,287716.69
388,Algodón,80.77,Aspersión,3437.5,118.1,7.1,Franco,Verano,Mediterráneo,556.8,22.3,2.74,33256.16
389,Parchita,92.94,Aspersión,989.0,151.4,37.7,Franco,Verano,Árido,142.5,15.4,8.03,373281.91
390,Papa,189.51,Lluvia,2673.3,162.9,38.4,Arcilloso,Invierno,Templado,1176.7,29.1,13.39,634211.03
391,Cacao,31.52,Aspersión,3574.3,432.8,32.9,Arcilloso,Invierno,Templado,257.6,21.2,3.37,265625.43
392,Parchita,117.66,Goteo,623.7,302.6,38.3,Arenoso,Verano,Tropical,80.7,7.4,10.42,613140.56
393,Maíz,101.67,Aspersión,2879.8,285.5,42.3,Arcilloso,Invierno,Árido,713.8,22.0,11.66,213429.3
394,Algodón,122.68,Goteo,1357.2,101.6,30.7,Arenoso,Verano,Mediterráneo,886.6,32.2,0.52,9504.79
395,Algodón,4.6,Goteo,4818.3,437.1,4.4,Volcánico,Primavera,Mediterráneo,38.9,16.9,7.35,5074.13
396,Maíz,174.55,Aspersión,2469.4,375.3,24.4,Arenoso,Verano,Mediterráneo,790.5,13.9,8.62,270959.04
397,Trigo,186.49,Lluvia,4049.4,80.5,3.9,Volcánico,Verano,Tropical,638.8,9.3,1.89,70550.71
398,Soja,113.46,Secano,2796.1,368.5,20.4,Arenoso,Otoño,Templado,123.9,9.5,7.58,301104.95
399,Cacao,139.63,Aspersión,312.7,294.6,20.4,Franco,Verano,Mediterráneo,207.0,18.0,0.14,48881.88
400,Café,184.58,Goteo,3202.4,86.8,3.3,Arcilloso,Verano,Templado,681.6,22.9,0.6,241698.79
401,Parchita,141.74,Goteo,4761.9,256.2,17.4,Volcánico,Otoño,Tropical,355.6,7.4,40.22,2850198.52
402,Maíz,31.36,Aspersión,3047.9,268.1,5.5,Arenoso,Invierno,Árido,1126.0,33.2,15.54,87737.67
403,Papa,115.68,Lluvia,4114.0,124.6,40.4,Arcilloso,Otoño,Árido,982.5,27.7,32.23,932116.48
404,Parchita,121.74,Lluvia,4432.6,475.6,47.4,Arenoso,Primavera,Árido,1180.3,22.6,63.79,3883185.91
405,Soja,85.4,Goteo,1217.6,432.5,3.6,Arcilloso,Otoño,Mediterráneo,311.6,29.9,4.83,144276.48
406,Papa,147.55,Goteo,1139.0,351.1,47.8,Arcilloso,Primavera,Árido,1163.7,7.4,17.24,636003.29
407,Arroz,186.94,Lluvia,3093.8,258.0,26.1,Arenoso,Invierno,Mediterráneo,517.5,19.3,5.32,218928.06
408,Algodón,185.19,Secano,2114.0,235.3,15.0,Volcánico,Otoño,Tropical,417.0,23.9,1.59,44103.34
409,Arroz,90.72,Aspersión,4215.3,342.9,3.8,Volcánico,Otoño,Tropical,60.4,29.9,20.34,405968.84
410,Parchita,23.53,Goteo,4510.1,295.4,25.0,Franco,Invierno,Mediterráneo,63.3,28.5,67.58,795068.57
411,Soja,196.98,Goteo,1831.8,78.0,39.7,Arcilloso,Primavera,Templado,830.4,13.3,0.47,32537.45
412,Cacao,167.94,Lluvia,1260.7,280.6,35.4,Franco,Otoño,Árido,549.5,33.2,0.6,252397.3
413,Parchita,25.81,Aspersión,3924.6,412.9,2.5,Franco,Primavera,Árido,271.8,8.7,64.42,831382.97
414,Maíz,184.25,Lluvia,1446.5,256.7,3.6,Arenoso,Otoño,Árido,736.8,31.3,3.54,117515.87
415,Tomate,174.11,Aspersión,4130.8,73.4,20.1,Arenoso,Verano,Mediterráneo,303.4,34.1,28.94,1511454.57
416,Parchita,104.25,Aspersión,2176.3,403.8,14.8,Arenoso,Otoño,Tropical,693.2,10.3,53.91,2810278.01
417,Algodón,118.66,Aspersión,3371.0,140.6,11.6,Arcilloso,Invierno,Árido,431.1,26.7,2.32,41365.59
418,Algodón,80.4,Goteo,568.1,166.4,14.1,Arenoso,Invierno,Tropical,988.3,6.2,0.66,7996.33
419,Parchita,11.9,Secano,3156.9,124.1,40.2,Arenoso,Primavera,Árido,984.8,17.2,28.67,170610.08
420,Papa,67.7,Lluvia,2313.7,198.6,46.5,Arcilloso,Otoño,Árido,572.8,20.5,37.32,631589.53
421,Tomate,160.77,Secano,2974.4,390.5,20.3,Arcilloso,Primavera,Mediterráneo,421.0,22.4,99.01,4775557.26
422,Maíz,1.92,Lluvia,923.3,283.7,45.3,Volcánico,Primavera,Templado,435.1,33.1,18.18,6283.92
423,Parchita,67.37,Aspersión,3710.7,142.2,16.1,Arenoso,Verano,Mediterráneo,966.9,25.2,27.04,910888.4
424,Papa,80.24,Goteo,4327.7,445.0,23.8,Arenoso,Verano,Árido,393.8,19.4,95.73,1920400.51
425,Algodón,107.94,Secano,1162.0,445.8,11.3,Arenoso,Invierno,Árido,250.9,29.3,2.19,35481.28
426,Algodón,184.05,Goteo,569.0,441.8,32.0,Volcánico,Primavera,Templado,101.6,33.5,0.53,14747.66
427,Soja,69.92,Lluvia,215.8,157.5,48.9,Arenoso,Invierno,Tropical,560.0,5.7,0.39,9604.5
428,Parchita,70.04,Goteo,3245.7,253.1,30.2,Volcánico,Otoño,Tropical,578.6,34.5,48.28,1690687.72
429,Tomate,147.76,Goteo,3074.8,493.2,17.9,Franco,Primavera,Árido,1009.1,7.6,115.38,5114690.29
430,Trigo,90.99,Secano,2778.8,397.4,32.4,Volcánico,Primavera,Tropical,265.5,29.4,15.19,276443.18
431,Tomate,45.7,Aspersión,1236.5,62.2,6.1,Franco,Otoño,Árido,457.2,13.4,28.24,387135.15
432,Algodón,91.04,Goteo,2015.4,79.3,44.4,Arenoso,Otoño,Templado,970.1,9.0,0.96,13134.76
433,Algodón,29.03,Aspersión,3012.9,258.8,25.2,Franco,Invierno,Templado,988.3,18.2,5.48,23850.97
434,Arroz,36.1,Lluvia,2534.2,459.1,22.5,Volcánico,Invierno,Árido,461.5,24.3,20.7,164363.05
435,Algodón,100.18,Goteo,4940.1,292.4,29.3,Arcilloso,Otoño,Templado,550.9,16.4,5.96,89531.59
436,Maíz,84.37,Secano,768.6,274.0,31.2,Franco,Invierno,Mediterráneo,363.9,6.6,3.65,55390.7
437,Café,183.05,Lluvia,3506.2,97.5,3.6,Franco,Otoño,Mediterráneo,1119.1,23.0,0.67,268195.06
438,Parchita,73.12,Lluvia,2081.2,345.6,34.1,Arenoso,Primavera,Templado,142.4,32.1,47.48,1735952.46
439,Tomate,116.54,Secano,2198.2,419.9,12.1,Volcánico,Primavera,Árido,1120.5,16.5,92.34,3228417.72
440,Café,126.82,Goteo,3616.2,221.2,35.7,Franco,Verano,Árido,820.6,11.5,2.15,600260.4
441,Papa,3.61,Goteo,3492.9,399.0,41.1,Franco,Primavera,Templado,637.9,18.3,117.93,106432.2
442,Trigo,133.04,Lluvia,4957.2,484.0,40.2,Franco,Otoño,Tropical,39.2,6.5,22.01,585669.9
443,Maíz,36.43,Goteo,729.1,141.7,27.6,Franco,Invierno,Mediterráneo,570.7,29.6,4.67,30621.41
444,Tomate,192.25,Aspersión,610.1,285.5,26.0,Arcilloso,Verano,Tropical,489.3,29.8,11.11,640573.97
445,Café,30.58,Secano,3649.3,179.2,7.1,Volcánico,Invierno,Árido,193.5,22.6,2.34,157625.17
446,Trigo,83.51,Aspersión,2934.1,406.8,38.8,Arenoso,Otoño,Árido,787.7,15.6,16.81,280760.25
